isbn,title,origin_title,subtitle,author,page,publish_date,publisher,description,douban_score,douban_id,bangumi_score,bangumi_id,type
9787020002207,红楼梦,,,曹雪芹,1024,1996-12-01,人民文学出版社,中国古典四大名著之一，描写了贾、史、王、薛四大家族的兴衰史。,9.6,1007305,,,文学
9787020008735,三国演义,,,罗贯中,800,1998-05-01,人民文学出版社,以三国时期历史为背景的长篇历史小说。,9.3,1019568,,,文学
9787020056453,西游记,,,吴承恩,640,2000-06-01,人民文学出版社,中国古典神话小说，讲述唐僧师徒四人取经的故事。,9.2,1029553,,,文学
9787020015009,水浒传,,,施耐庵,896,1997-01-01,人民文学出版社,描写108位梁山好汉的英雄传奇故事。,9.1,1052357,,,文学
9787508693019,活着,,,余华,191,2012-08-01,中信出版社,讲述了一个人和他命运之间的友情，这是最为感人的友情。,9.4,4913064,,,文学
9787544270878,追风筝的人,The Kite Runner,,卡勒德·胡赛尼,362,2006-05-01,上海人民出版社,12岁的阿富汗富家少爷阿米尔与他父亲仆人儿子哈桑情同手足。,8.9,1770782,,,文学
9787530216781,平凡的世界,,,路遥,1100,2012-03-01,北京十月文艺出版社,这是一部现实主义小说，也是一部小说形式的家族史。,9.3,1200384,,,文学
9787020137190,百年孤独,Cien años de soledad,,加西亚·马尔克斯,360,2017-08-01,人民文学出版社,魔幻现实主义文学的代表作，描写了布恩迪亚家族七代人的传奇故事。,9.2,6082808,,,文学
9787544291170,白夜行,白夜行,,东野圭吾,440,2013-01-01,南海出版公司,我的天空里没有太阳，总是黑夜，但并不暗，因为有东西代替了太阳。,9.1,10554308,,,文学
9787544258579,小王子,Le Petit Prince,,安东尼·德·圣-埃克苏佩里,96,2003-08-01,南海出版公司,小王子是一个超凡脱俗的仙童，他住在一颗只比他大一丁点儿的小行星上。,9.0,1003000,,,文学
9787020137435,围城,,,钱钟书,362,2017-12-01,人民文学出版社,围城是一幅栩栩如生的世井百态图，人生的酸甜苦辣千般滋味均在其中得到了淋漓尽致的体现。,8.9,1008145,,,文学
9787532776771,挪威的森林,ノルウェイの森,,村上春树,380,2018-03-01,上海译文出版社,影响了几代读者的青春名作，描绘了逝去的青春风景。,8.5,27200257,,,文学
9787533936020,月亮与六便士,The Moon and Sixpence,,威廉·萨默塞特·毛姆,304,2017-01-01,浙江文艺出版社,满地都是六便士，他却抬头看见了月亮。,8.7,26954760,,,文学
9787559614995,三体,,,刘慈欣,302,2019-01-01,北京联合出版公司,文化大革命如火如荼进行的同时。军方探寻外星文明的绝秘计划红岸工程取得了突破性进展。,8.8,2567698,,,文学
